,track_uri,popularity,name,danceability,energy,speechiness,instrumentalness,tempo,sentiment,negative,positive,neutral,lyrics
31,10HDoLPz2bucGBkoNEjDHW,1,Step Into Christmas,0.54,0.928,0.0337,1.11e-05,140.419,0.9976,0.005,0.219,0.776,"[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say, ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh, step into Christmas with me, yeah

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free

[Verse 2]
Take care in all you do next year
And keep smilin' through the days
If we can help to entertain you
Oh, we will find the ways

[Pre-Chorus]
So merry Christmas, one and all
There's no place I'd rather be
Than askin' you if you'd oblige
Steppin' into Christmas with me
[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free, oh

[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say, ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh, step into Christmas with me, yeah

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free
[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free, oh

[Outro]
(Step, step into Christmas)
(Ah, forever and ever)
(Yeah, come along with me)
(Ah) Oh
(Step, step into Christmas)
(Ah, forever and ever)
(Yeah, come along with me)
(Ah)EmbedShare URLCopyEmbedCopy"
32,5Q2P43CJra0uRAogjHyJDK,77,"Baby, It's Cold Outside ",0.583,0.572,0.0366,0.0,113.998,0.9537,0.059,0.105,0.836,"[Verse 1: Marilyn Maxwell & Dean Martin]
I really can't stay (But, baby, it's cold outside)
I've got to go away (But, baby, it's cold outside)
This evening has been (Been hoping that you'd drop in)
So very nice (I'll hold your hands, they're just like ice)
My mother will start to worry (Beautiful, what's your hurry?)
My father will be pacing the floor (Listen to the fireplace roar)
So, really, I'd better scurry (Beautiful, please don't hurry)
But maybe just a half a drink more (Put some records on while I pour)
The neighbors might think (Baby, it's bad out there)
Say, what's in this drink? (No cab's to be had out there)
I wish I knew how (Your eyes are like starlight now)
To break this spell (I'll take your hat, your hair looks swell)
I ought to say, ""No, no, no, sir"" (Mind if I move in closer?)
At least I'm gonna say that I tried (What's the sense of hurtin' my pride?)

[Chorus: Marilyn Maxwell, Dean Martin & Both]
I really can't stay
(Oh, baby, don't hold out)
Baby, it's cold outside

[Verse 2: Marilyn Maxwell & Dean Martin]
I simply must go (But, baby, it's cold outside)
The answer is no (But, baby, it's cold outside)
Your welcome has been (How lucky that you dropped in)
So nice and warm (Look out the window at the storm)
My sister will be suspicious (Gosh your lips look delicious)
My brother will be there at the door (Waves upon the tropical shore)
My maiden aunt's mind is vicious (Gosh your lips are delicious)
But maybe just a cigarette more (Never such a blizzard before)
I've gotta get home (But, baby, you'd freeze out there)
Say, lend me a coat (It's up to your knees out there)
You've really been grand (I thrill when you touch my hand)
But don't you see? (How can you do this thing to me?)
There's bound to be talk tomorrow (Think of my lifelong sorrow)
At least there will be plenty implied (If you got pneumonia and died)
[Chorus: Marilyn Maxwell, Dean Martin & Both]
I really can't stay
(Get over that cold out)
Baby, it's cold
Baby, it's cold outside5EmbedShare URLCopyEmbedCopy"
33,0YWUHZPJVg4iujddsJDwhM,79,My Only Wish ,0.669,0.843,0.0268,0.0,147.08,0.999,0.0,0.321,0.679,"[Verse 1]
If only given one wish for Christmas
A lot of things would truly come to mind
I’d think of everything from snow to trees and mistletoe
But only this one wish would touch my heart

[Chorus]
My only wish for Christmas is you
You're the only gift I wanted, but had to choose
Above all presents big and small, you're the greatest gift of all
My only wish for Christmas is you

[Verse 2]
I don’t need all those fancy decorations
I’d do without my mother’s pumpkin pie
I’d give up all the Christmas cards just to have you in my arms
That's why my only wish this year is you

[Chorus]
My only wish for Christmas is you
You're the only gift I wanted, but had to choose
Above all presents big and small, you're the greatest gift of all
My only wish for Christmas is you

[Bridge]
Your love means more than colored lights, more than snowy winter nights
A present any shape or size can’t match the beauty of your eyes
Of all the things I could receive, you’re the only gift I need
My only wish for Christmas is you
Yeah, yeah, yeah, yeah
[Chorus]
My only wish for Christmas is you
You're the only gift I wanted, but had to choose
Above all presents big and small, you're the greatest gift of all
My only wish for Christmas is you

[Outro]
My only wish for Christmas is you
My only wish for Christmas is you
Only wish for Christmas
Only wish for Christmas
Is you (Is you), is you (Is you)
Is you (Is you), is you (Is you)
My only wish for Christmas is you
Is you (Is you), is you (Is you)
La-de-da-da
La-de-da-daEmbedShare URLCopyEmbedCopy"
34,0tXPhc8LvM4dPvoRwI66XQ,69,I'll Be Home for Christmas,0.282,0.101,0.0315,5.05e-05,83.13,0.9747,0.0,0.221,0.779,"I'm dreaming tonight of a place I love
Even more than I usually do
And although I know it's a long road back
I promise you

I'll be home for Christmas
You can count on me
Please have snow and mistletoe
And presents on the tree

Christmas Eve will find me
Where the love light gleams
I'll be home for Christmas
If only in my dreams

Please have snow and mistletoe
And presents on the tree

Christmas Eve will find me
Where the love light gleams
I'll be home for Christmas
If only in my dreams
If only in my dreamsEmbedShare URLCopyEmbedCopy"
35,1OjmlSFuzYflWjSMTCyTJv,79,Like It's Christmas,0.725,0.571,0.102,0.0,146.035,0.9976,0.041,0.222,0.736,"[Intro]
Dum-dum-dum-dum

[Verse 1: Nick Jonas]
There's snow on the ground, love in the air, sleigh bells are ringin'
This is what it's all about, the fire is warm, the angels are singin'

[Pre-Chorus: Nick Jonas with Joe Jonas]
And I don't wanna miss a single thing
Don't wanna put an end to all this cheer
But as long as you're with me
It's always that time of the year

[Chorus: Joe Jonas with Nick Jonas]
You make everyday feel like it's Christmas, never wanna stop
Feelin' like the first thing on your wishlist, right up at the top
I can't deny what I'm feelin' inside
Nothin' fake about the way you bring me to life
You make everyday feel like it's Christmas
Everyday that I'm with you

[Verse 2: Joe Jonas with Nick Jonas]
Look at the lights, twinklin' bright twenty-four/seven
Every inch of Central Park is covered in white, this could be heaven

[Pre-Chorus: Joe Jonas with Nick Jonas]
And I don't wanna miss a single thing
Don't wanna put an end to all this cheer
But as long as you're with me
It's always that time of the year, yeah (Woo)
[Chorus: Joe Jonas with Nick Jonas, Nick Jonas]
You make everyday feel like it's Christmas (Like it's Christmas), never wanna stop
Feelin' like the first thing on your wishlist, right up at the top
I can't deny what I'm feelin' inside
Nothin' fake about the way you bring me to life
You make everyday feel like it's Christmas
Everyday that I'm with you

[Bridge: Joe Jonas & Nick Jonas]
Woo, woo, woo, yeah (Everyday that I'm with you)
Everyday, every night (Oh, oh, all day)

[Chorus: Joe Jonas with Nick Jonas]
You make everyday feel like it's Christmas, never wanna stop
Feelin' like the first thing on your wishlist, right up at the top (And I can't deny)
I can't deny what I'm feelin' inside
Nothin' fake about the way you bring me to life
You make everyday feel like it's Christmas
Everyday that I'm with you

[Outro: Joe Jonas & Nick Jonas]
Hey, hey, yeah, everyday, la-la-la
I can't deny what I'm feelin' inside
No matter the reason, no matter the season
My heart'll keep beatin', you better believe
You make everyday feel like it's Christmas (Like it's Christmas)
Everyday that I'm with you (Oh-oh-oh, oh-oh-oh, oh-oh-oh)
Everyday that I'm with you (Oh-oh-oh, oh-oh-oh, oh-oh-oh)
Everyday that I'm with you1EmbedShare URLCopyEmbedCopy"
36,4ricyQVd20UQde1jpXCSuJ,17,Winter Wonderland,0.452,0.366,0.0415,0.0,114.993,0.0926,0.077,0.07,0.853,"Sleigh bells ring, are you listening
In the lane, snow is glistening
A beautiful sight
We're happy tonight
Walking in a winter wonderland

Gone away is the bluebird
Here to stay is a new bird
He sings a love song
As we stroll along
Walking in a winter wonderland

In the meadow we can build a snowman
We'll pretend that he is Parson Brown
He'll say ""Are you married?""
We'll say ""No man""
But you can do the job
When you're in town

Later on, we'll conspire
As we dream by the fire
To face unafraid
The plans that we've made
Walking in a winter wonderland

In the meadow we can build a snowman
We'll pretend that he is Parson Brown
He'll say ""Are you ready?""
We'll say ""No man""
But you can do the job
When you're in town
Later on, we'll conspire
As we dream by the fire
To face unafraid
The plans that we've made
Walking in a winter wonderland
Walking in a winter wonderland
Walking in a winter wonderlandEmbedShare URLCopyEmbedCopy"
37,15sxLiiChE5dCW3Y756oas,78,I Saw Mommy Kissing Santa Claus,0.583,0.712,0.0538,1.02e-06,128.897,0.9969,0.0,0.263,0.737,"[Spoken Intro]
Merry Christmas and a happy new year
This is Michael Jackson and The Jackson 5 wishing a happy holiday to all mountain fans

[Intro]
Wow! Mommy's kissing Santa Claus!

[Verse 1]
I saw mommy kissing Santa Claus (kissing, kissing, Santa Claus)
Underneath the mistletoe last night
She didn't see me creep
Down the stairs to have a peep
She thought that I was tucked up
In my bedroom, fast asleep

[Chorus]
Then I saw mommy tickle, tickle (tickle, tickle, Santa Claus)
Underneath his beard so snowy white
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night

[Bridge]
He saw mommy kissing (kissing, kissing, Santa Claus)
I did! I really did see mommy kissing Santa Claus
And I'm gonna tell my dad
[Verse 2]
Then I saw mommy tickle (tickle, tickle, Santa Claus)
Underneath his beard so snowy white
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night
Oh, what a laugh it would have been
If Daddy had only seen
Mommy kissing Santa Claus last night

[Bridge]
I did! I did! I really did see mommy kissing Santa Claus
You gotta believe me! You just gotta believe me!
Come on, fellas, believe me!
You just gotta believe me! (I told you, I told you)3EmbedShare URLCopyEmbedCopy"
38,6YJdPrH3i2POzu7hdHIRrb,78,Santa Baby,0.748,0.778,0.137,0.0,95.989,0.863,0.033,0.081,0.885,"[Verse 1]
Santa baby, just slip a sable under the tree
For me
Been an awful good girl
Santa baby, so hurry down the chimney tonight

[Verse 2]
Santa baby, a 54 convertible too
Light blue
I'll wait up for you dear
Santa baby, so hurry down the chimney tonight

[Chorus]
Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be just as good
If you'll check off my Christmas list

[Verse 3]
Santa baby, I want a yacht
And really that's not a lot
Been an angel all year
Santa baby, so hurry down the chimney tonight

[Verse 4]
Santa honey, one little thing I really need
The deed
To a platinum mine
Santa baby, so hurry down the chimney tonight
[Verse 5]
Santa cutie, and fill my stocking with a duplex
And checks
Sign your 'X' on the line
Santa cutie, and hurry down the chimney tonight

[Bridge]
Come and trim my Christmas tree
With some decorations bought at Tiffany's
I really do believe in you
Let's see if you believe in me

[Outro]
Santa baby, forgot to mention one little thing
A ring
I don't mean on the phone
Santa baby, so hurry down the chimney tonight
Hurry down the chimney tonight
Hurry, tonight4EmbedShare URLCopyEmbedCopy"
39,78pn8k7RogKo2oxl0DyX6d,77,One More Sleep,0.638,0.813,0.0362,0.0,112.986,0.9396,0.048,0.077,0.875,"[Verse 1]
Snow is falling all around us
My baby's coming home for Christmas
I've been up all night inside my bedroom
He said he'll be with me real soon
So I wait
And I wait
But I've had as much as I can take

[Chorus]
'Cause I've got five more nights of sleeping on my own
Four more days until you're coming home
Three more dreams of you and mistletoe
Two more reasons why I love you so
I've got five more nights until you're next to me
Four more days of being lonely
Three more wishes, I can barely breathe
If I can make it to Christmas Eve then it's
One more sleep (one more sleep until it's Christmas)
One more sleep (Can't believe how much I missed us)
One more sleep (One more sleep until it's Christmas)
One more sleep

[Verse 2]
Now I don't think I can remember
A cold and lonelier December
And I find myself singing at the window
Wondering when you're gonna get back home
So I try
And I try
But there is nothing I can do to pass this time
[Chorus]
'Cause I've got five more nights of sleeping on my own
Four more days until you're coming home
Three more dreams of you and mistletoe
Two more reasons why I love you so
I've got five more nights until you're next to me
Four more days of being lonely
Three more wishes, I can barely breathe
If I can make it to Christmas Eve then it's
One more sleep (one more sleep until it's Christmas)
One more sleep (Can't believe how much I missed us)
One more sleep (One more sleep until it's Christmas)
One more sleep

[Bridge]
Until we're rocking around the Christmas tree
Until I got you sitting next to me
We got a lot of catching up to do
I just can't take this missing you

[Chorus 2]
Five more nights on my own
Four more days, hmm
Three more dreams, mistletoe
I can't believe I ever let you go, oh
Five more nights of sleeping on my own (Yeah) (On my own)
Four more days until you're coming home (Until you're coming home)
Three more wishes, I can barely breathe
If I can make it to Christmas Eve then it's
One more sleep
One more sleep
One more sleep
One more sleep1EmbedShare URLCopyEmbedCopy"
40,35ys6iS1supcwFoxLJkFbg,0,Santa Claus Is Comin' to Town ,0.355,0.668,0.0482,1.23e-06,139.734,0.9919,0.038,0.293,0.67,"[Chorus]
You better watch out, you better not cry
You better not pout, I'm telling you why
Santa Claus is comin' to town

[Bridge]
He's making a list and checking it twice
Gonna find out who's naughty and nice
Santa Claus is comin' to town

[Verse 1]
He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake

[Chorus]
You better watch out, you better not cry
You better not pout, I'm telling you why
Santa Claus is comin' to town

[Verse 1]
He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So be good for goodness sake
[Chorus]
You better watch out, you better not cry
You better not pout, I'm telling you why
Santa Claus is comin' to townEmbedShare URLCopyEmbedCopy"
41,2L9QLAhrvtP4EYg1lY0Tnw,77,Rudolph The Red,0.478,0.201,0.0332,0.0,136.471,-0.8471,0.096,0.1,0.804,"[Produced by Evidence & Kanye West]
[Intro: JAY-Z]
Aight, let's run it, let's run it
Yo fuck you, Kanye, first and foremost
For making me do this shit. Muh'fucker
Had to throw everybody out the motherfucking room
'Cause they don't fucking--

[Kanye West]
I'd like to propose a toast
I said toast, motherfucker!

[Chorus: Kanye West]
And I am
(Here's to the Roc)
And they ask me, they ask me, they ask me, I tell them
(Here's to Roc-A-Fella)
Raise your glasses, your glasses, your glasses to the sky and
(Here's to the Roc)
This is the last call for alcohol, for the
(Mr. Rockefeller)
So get your ass up off the wall

[Verse 1: Kanye West]
The all around the world Digital Underground Pac
The Rudolph the red-nosed reindeer of the Roc
I take my chain, my fifteen seconds of fame
And come back next year with the whole fucking game
Ain't nobody expect Kanye to end up on top
They expected that College Dropout to drop and then flop
Then maybe he stop savin' all the good beats for himself
Roc-A-Fella's only niggas that helped
My money was thinner than Sean Paul's goatee hair
Now Jean Paul Gaultier cologne fill the air, here
They say he bougie, he big-headed
Would you please stop talking about how my dick head is
Flow infectious, give me ten seconds
I'll have a buzz bigger than insects in Texas
It's funny how wasn't nobody interested
'Til the night I almost killed myself in Lexus
[Chorus: Kanye West]
Now I am
(Here's to the Roc)
And they ask me, they ask me, they ask me, I tell them
(Here's to Roc-A-Fella)
Raise your glasses, your glasses, your glasses to the sky and
(Here's to the Roc)
This is the last call for alcohol, for the
(Mr. Rockefeller)
So get your ass up off the wall

[Verse 2: Kanye West]
Now was Kanye the most overlooked? Yes sir
Now is Kanye the most overbooked? Yes sir
Though the fans want the feeling of A Tribe Called Quest
But all they got left is this guy called West
That'll take Freeway, throw him on tracks with Mos Def
Call him Kwa-li or Kwe-li, I put him on songs with JAY-Z
I'm the Gap like Banana Republic and Old Navy, and oooh
It come out sweeter than old Sadie
Nice as Bun-B when I met him at the Source awards
Girl he had with him - ass coulda won the horse awards
And I was almost famous, now everybody love Kanye
I'm almost Raymond
Some say he arrogant, can y'all blame him?
It was straight embarrassing how y'all played him
Last year shoppin' my demo, I was tryin' to shine
Every motherfucker told me that I couldn't rhyme
Now I could let these dream killers kill my self-esteem
Or use my arrogance as the steam to power my dreams
I use it as my gas, so they say that I'm gassed
But without it I'd be last, so I ought to laugh
So I don't listen to the suits behind the desk no more
You niggas wear suits 'cause you can't dress no more
You can't say shit to Kanye West no more
I rocked 20,000 people, I was just on tour, nigga
I'm Kon, the Louis Vuitton Don
Bought my mom a purse, now she Louis Vuitton Mom
I ain't play the hand I was dealt, I changed my cards
I prayed to the skies and I changed my stars
I went to the malls and I balled too hard
""Oh my god, is that a black card?""
I turned around and replied, ""Why yes
But I prefer the term African American Express""
Brains, power, and muscle, like Dame, Puffy, and Russell
Your boy back on his hustle, you know what I've been up to
Killin y'all niggas on that lyrical shit
Mayonnaise-colored Benz, I push Miracle Whips
[Chorus: Kanye West]
And I am
(Here's to the Roc)
And they ask me, they ask me, they ask me, I tell them
(Here's to Roc-A-Fella)
Raise your glasses, your glasses, your glasses to the sky and
(Here's to the Roc)
This is the last call for alcohol, for my niggas
(Mr. Rockefeller)
So get your ass up off the wall

[Outro]
So this A&R over at Roc-A-Fella, named Hip Hop Picked the ""Truth"" beat for Beanie. And I was in the session with him. I had my demo with me. You know, like I always do. I play the songs, he's like ""Who that spittin'?"" I'm like ""It's me."" He's like ""Oh, well okay.""
Uhh, he started talkin' to me on the phone, going back and forth
Just askin' me to send him beats, and I'm thinking he's trying to get into managing producers, 'cause he had this other kid named Just Blaze he was messin' with
So won't you raise your glass, won't you?
So won't you raise your glass, won't you?
So won't you raise your glass, won't you?
So won't you raise your glass, won't you?
And um, he was friends with my mentor, No ID. And No ID told him, ""Look, man, you wanna mess with Kanye you need to tell him that you like the way he rap""

No ID: ""Yo, you wanna sign him, tell him you like how he rap""

[Saxophone Solo]
I was all, I dunno if he was gassin' me or not but he's like he wanna manage me as a rapper AND a producer

[Hiphop: ""I'll sign you as a producer and a rapper""]

I'm like oh shit. I was messin' with, uh, D-Dot also. People were like this, started talking about the ghost production but that's how I got in the game. If it wasn't for that, I wouldn't be here. So you know, after they picked that ""Truth"" beat I was figuring I was gonna do some more work but shit just wasn't poppin' off like that. I was stayin' in Chicago, I had my own apartment, I be doin' like, just beats for local acts just to try to keep the lights on, and then to go out and buy, get a Pelle Pelle off lay-away, get some Jordans or something or get a TechnoMarine, that's what we wore back then
I made this one beat where I sped up this Harold Melvin sample I played it for Hip over the phone, he's like, ""Oh, yo that shit is crazy Jay might want it for this compilation album he doin', called The Dynasty. And at that time, like the drums really weren't soundin' right to me So I went and um, I was listening to Dre Chronic 2001 at that time. And really I just, like bit the drums off ""Xxplosive"" and put it like with a sped-up sample, and now it's kind of like my whole style, when it started, when he rapped on ""This Can't Be Life.""

And that was like, really the first beat of that kind that was on The Dynasty album. I could say that was the the resurgence of the soul sound You know, I got to come in and track the beat and at the time I was still with my other management. I really wanted to roll with Hip Hop 'cause I, I just needed some fresh air, you know what I'm sayin' 'cause I been there for a while. I appreciated what they did for me but, you know there's a time in every man's life where he gotta make a change. Try to move up to the next level. And that day I came and I tracked the beat and I got to meet JAY-Z and he said, ""Oh you a real soulful dude.""
[JAY-Z: ""Oh you a real soulful dude, man""]
And he, uh, played the song 'cause he already spit his verse by the time I got to the studio. You know how he do it, one take. And he said

[JAY-Z: ""Check this out, tell me what you think of this, right here""]

""Tell me what you think of this."" And I heard it, and I was thinking like, man, I really wanted more like of the simple type JAY-Z. I ain't want like the, the more introspective, complicated rhy- or the... in my personal opinion. So he asked me, ""What you think of it?""

[JAY-Z: ""So what you think of this?""]

And I was like, ""Man that shit tight,"" you know what I'm sayin', man what I'ma tell him? I was on the train, man, you know. So after that, I went back home. And man I'm, I'm just in Chicago, I'm trying to do my thing. You know, I got groups. I got acts I'm trying to get on, and like there wasn't nothin' really like poppin' off the way it should have been. One of my homies that was one of my artists, he got signed. But it was supposed to really go through my production company, but he ended up going straight with the company. So, like I'm just straight holdin' the phone, gettin' the bad news that dude was tryin' to leave my company. And I got evicted at the same time. So I went down and tracked the beats from him, I took that money, came back, packed all my shit up in a U-Haul, maybe about ten days before I had to actually get out so I ain't have to deal with the landlord 'cause he's a jerk. Me and my mother drove to...

[Donda West: ""Come on, let's just go""]

...Newark, New Jersey. I hadn't even seen my apartment. I remember I pulled up...

[Donda West: ""Kanye, baby, we're here""]

...I unpacked all my shit. You know, we went to Ikea, I bought a bed, I put the bed together myself. I loaded up all my equipment, and the first beat I made was, uh, ""Heart of the City."" And Beans was still working on his album at that time, so I came up there to Baseline, it was Beans' birthday, matter of fact, and I played like seven beats. And, you know I guess he was in the zone, he already had the beats that he wanted, I had did ""Nothing Like It"" already at that time but then Jay walked in. I remember he had a Gucci bucket hat on. I remember it like, like it was yesterday. And Hip-hop said, ""Yo play that one beat for him."" And I played ""Heart of the City."" And really I made ""Heart of the City,"" I really wanted to give that beat to DMX

[Hiphop: ""No I think Jay gon' like this one right here""]

And I played another beat, and I played another beat. And I remember that Gucci bucket, he took it and like put it over his face and made one of them faces like 'OOOOOOOOOOH.' Two days later I'm in Baseline and I seen Dame. Dame didn't know who I was and I was like, ""Yo what's up I'm Kanye.""

[Dame: ""Yo, you that kid, Kanye?""]

""You that kid that gave all them beats to Jay? Yo, this nigga got classics to your beats""

[Dame: ""Jay got classics, G.""]

You know I ain't talkin' shit. I'm like ""oh shit."" And all this time I'm starstruck, man. I'm still thinking 'bout, you know I'm picturing these niggas on the show, The Streets is Watching, I'm lookin', these were superstars in my eyes. And they still are, you know. So, Jay came in and he spit all these songs like in one day, and in two days... I gotta bring up one thing, you know, come back to the story, the day I did the 'Can't be Life' beat on track, I remember Lenny S, he had some Louis Vuitton sneakers on, he think he fly. And Hip Hop was there, I think Ty-Ty, John Meneilly, a bunch of people. I didn't know all these people at the time they was in the room, and I said, ""yo Jay I could rap."" And I spit this rap that said, uh ""I'm killin' y'all niggas on that lyrical shit. Mayonnaise colored Benz, I push miracle whips."" And I saw his eyes light up when I said that line. But you know the rest, the rap was like real wack and shit, so that's all the response. He said, ""Man that was tight.""

[JAY-Z: ""That, that was cool. That was hot.""]

That was it. You know, I ain't get no deal then, hehe. Okay, fast forward. So, Blueprint, ""H to the Izzo,"" my first hit single. And I just took that proudly, built relationships with people. My relationship with Kweli I think was one of the best ones to ever happen to my career as a rapper. Because, you know, of course, later he allowed me to go on tour with him. Man, I appre-- I love him for that. And at this time, you know I didn't have a deal, I had songs, and I had relationships with all these A&R's, and they wanted beats from me, so they'd call me up, I'd play them some beats. ""Gimme a beat that sound like JAY-Z."" You know, they dick riders. Whatever. So I'll play them these post-Blueprint beats or whatever and then I'll play my shit. I'll be like, ""yo but I rap too."" Hey, I guess they was lookin' at me crazy 'cause you know, 'cause I ain't have a jersey on or whatever. Everybody out there listen here: I played them ""Jesus Walks"" and they didn't sign me. You know what happened, it was some A&R's that fucked with me though, but then like the heads, it'd be somebody at the company that'll say, ""Naw."" Like, Dave Lighty fucked with me, my nigga Mel brought me to a bunch of labels. Jessica Rivera, man...

[Jessica: ""Man, you niggas is stupid if y'all don't sign Kanye, for real.""]

I'm not gonna say nothin' to mess my promotion up

[""Y'all niggas is stupid""]

Let's just say I didn't get my deal. The nigga that was behind me, I mean, he wasn't even a nigga, you know? The person who actually kicked everything off was Joe 3H from Capitol Records. He wanted to sign me really bad

[Joe: ""We gonna change the game, buddy.""]

Dame was like, ""Yo you got a deal with Capitol? Okay man, just make sure it's not wack.""

[Dame: ""You gotta make sure it's not wack.""]

Then one day I just went ahead and played it, I wanted to play some songs, 'cause you know Cam was in the room, Young Guru, and Dame was in the room. So I played... actually it's a song that you'll never hear, but maybe I might use it. So, it's called 'Wow.'
""I go to Jacob with 25 thou, you go with 25 hundred, wow
I got 11 plaques on my walls right now
You got your first gold single, damn, nigga, wow.""
Like the chorus went. Don't bite that chorus, I might still use it. So I play that song for him and he's like ""oh shit""

[Dame: ""Oh shit it's not even wack.""]

""I ain't gonna front, it's kinda hot.""

[Dame: ""it's actually kinda hot.""]

Like they still weren't looking at me like a rapper. And I'm sure Dame figured, 'Like man. If he do a whole album, if his raps is wack at least we can throw Cam on every song and save the album, you know. So uh Dame took me into the office, and he's like ""yo man, B, B, you don't want a brick, you don't want a brick""

[Dame: ""you don't wanna catch a brick""]

""You gotta be under an umbrella, you'll get rained on."" I told Hip-hop and Hip-hop was all, ""oh, word?"" Actually, even with that, I was still about to take the deal with Capitol 'cause it was already on the table and 'cause of my relationship with 3H. That, you know, 'cause I told him I was gonna do it, and I'm a man of my word, I was gonna roll with what I said I was gonna do. Then, you know, I'm not gonna name no names, but people told me, ""oh he's just a producer-rapper,"" and told 3H that told the heads of the Capitol, and right-- the day I'm talking about, I planned out everything I was gonna do. Man, I had picked out clothes, I already started booking studio sessions, I started arranging my album, thinking of marketing schemes, man I was ready to go. And they had Mel call me, they said, ""yo... Capitol pulled on the deal""

[Mel: ""Yo, Capitol pulled out on the deal.""]

And, you know I told them that Roc-A-Fella was interested and I don't know if they thought that was just something I was saying to gas them up to try to push the price up or whatever. I went up... I called G, I said, ""man, you think we could still get that deal with Roc-A-Fella?""
So won't you raise your glass, won't you?
So won't you raise your glass, won't you?
So won't you raise your glass, won't you?
So won't you raise your glass, won't you?137EmbedShare URLCopyEmbedCopy"
42,32h59T8q2SonUPJ006lyXt,74,This Christmas,0.575,0.744,0.0603,0.0,183.79,0.9946,0.031,0.28,0.689,"[Verse 1]
Hang all the mistletoe
I'm gonna get to know you better
This Christmas
And as we trim the tree
How much fun it's gonna be together
This Christmas
The fireside is blazing bright, woah-oh-oh
We're caroling through the night, woah-oh-oh
This Christmas will be
A very special Christmas for me
Woah-oh-oh-woah-oh-oh-oh
Ha, let's go (Woo!)

[Verse 2]
Presents and cards are here
My world is filled with cheer and you
This Christmas
And as I look around
Your eyes outshine the town, they do
This Christmas

[Chorus]
The fireside is blazing bright
And we're caroling through the night
And this Christmas will be
A very special Christmas for me, yeah, huh, woah-oh-oh
Oh, haha, shake a hand, shake a hand now
Na-na-na-na-na-na
[Instrumental Break]

[Chorus]
Ooh, the fireside is blazing bright
And we're caroling through the night
And this Christmas will be
So special for you and me, yes, it will be
Woah-oh-oh, ha
Shake a hand now
Come on, everybody shake a hand now, ha
Family, hey
We'll be together
To make this Christmas bright, yes, we will11EmbedShare URLCopyEmbedCopy"
43,2qoZNAP3JLyIOtbsPtBjvV,11,What Christmas Means To Me,0.478,0.542,0.0367,0.0,167.486,0.9985,0.016,0.244,0.74,"[A Cappella Intro:]
Dum-dumbe-dum-dum-dumbe
Dum-dumbe-dum-dum-dumbe
Da-da-da
Ba-da-da
Da-da-da
Oh

[Verse 1: Scott Hoying and Mitch Grassi]
Candles burning low
Lots of mistletoe
Lots of snow and ice
Everywhere we go
Everywhere you go
Choirs singing carols, ooh
Right outside my door
Right outside my door

[Pre-Chorus: Scott, Kirstin and Mitch]
All these things and more
All these things and more
That's what Christmas means to me my love
That's what Christmas means to me my love

[Chorus: Mitch and Kirstin Maldonado]
Christmas means to me, my love (Woah)
Christmas means to me, my love
Christmas means to me, my love (Woah, oh, oh-oh)
[Verse 2: Kirstin and Mitch]
I see your smiling face
Like I never seen before
Even though I love you madly
It seems I love you more
The little cards you give me
Will touch my heart for sure

[Pre-Chorus: Mitch and Scott and Scott and Kirstin]
All these things and more
(All these things and more)
That's what Christmas means to me my love
(Christmas means to me my love)

[Chorus]
Christmas means to me my love (Woah, woah, woah-woah-oh)
Christmas means to me my love (Merry Christmas)
Christmas means to me my love

[Verse 3]
I feel like running wild
(Running wild)
As anxious as a little child
To bring you 'neath the mistletoe
Kiss you once and then some more
I wish you a Merry Christmas baby
(Wish you a Merry Christmas baby)
Such happiness in the coming year
(Happiness in the coming year)
Oh
Deck the halls with holly
Singin' ""Silent Night""
Fill the tree with angel hair
And pretty, pretty lights
Go to sleep and wake up
Just before daylight
[Pre-Chorus]
All these things and more, baby
(All these things and more now, baby)
That's what Christmas means to me my love
(Christmas means to me my love)

[Chorus]
Christmas means to me my love (Oh, oh, oh, oh-oh)
Christmas means to me my love
Christmas means to me
Christmas means to me my love (Oh, oh, oh, oh-oh)
Christmas means to me my love
Christmas means to me, my loveEmbedShare URLCopyEmbedCopy"
